oc oc0 26,"b_4__ n a large mass of paper, straw, goods, etc pressed together and tied with rope or wire ready to be moved, sold, etc: ___s of hay. +The cloth was packed in ___s +___v ~sth (up)",7/10/2011,bale,,,
oc,"v__ +2 v ~ (over sth) to jump in a single movement over or onto an object with a hand or hands resting on it or with the help of pole. n pole-___. +___ing-horse n a wooden apparatus for practice in ___ing.
+1 n 2 (a) an underground room used for storing things at a cool temperature.",7/21/2011,vault2,,,
oc oc0,g__ adj 2 [attrib] careless; without worries: spending money with ___ abandon. 3(becoming dated) happy and full of fun; cheerful: ___ laughter/music. +___ily adv.,7/21/2011,gay,,,
oc oc0 oc2 oc3,"v (fml) 1 ~ sth ( to sth) to give a quality to sth: [Vn, Vnpr] Her presence __d an air of gaiety ( to the occasion). [Vnpr] __ spin to a ball. 2 ~sth (to sb) to make information known to sb; to reveal sth: [Vn, Vnpr] Teachers ___ a great deal of knowledge to their pupils.",12/8/2011,impart,,,
oc oc0 oc3,"n 1 a machine in which milk or cream is shaken to make butter. 2 a container of milk. +__v 1 [Vn] (a) to shake milk or cream to make butter. 2 (a) ~sth(up) to make sth move violently; to stir or disturb sth: [Vn, Vnp] motor boats __ing (up) the peaceful waters of the bay. PHR V ___ sth out (infml often derog) to produce sth quickly and in large amounts: She __s out novels at the rate of three a year.",3/15/2012,churn,,,
oc,"b__ v ~ sth(up) to spoil sth by poor works; to repair sth badly: [Vn] a __d rescue operation + The actor __d his lines (ie forgot them or failed to say them properly). [Vnp] Instead of mending my car properly, he really __d it up. +___ (also __-up) n a piece of work that is badly done: a ___ job + make a ___-up of sth.",3/20/2012,botch,,,
oc,q__ n 1 (a) (also ___-feather) a large feather from the wing or tail of a bird. (b) (also ___ pen) a pen made from the hollow stem of such a feather. 2 (usu pl) a long sharp stiff spine of a porcupine.,7/28/2011,quill,,,
oc oc0 25,"+1 v. +___n 1 [U] good order or condition; the state of being ready or fit: be/keep in good/proper/excellent ___. +She's got a month to get into ___ for the race. 3 [U,sing] decorations for clothes, furniture, etc, esp along the edges and often of a different colour or material from the rest. +2 adj slim, elegant, or fit.",7/24/2011,trim,,,
oc oc0,l__ シラミ,6/14/2011,louse,(pl lice),,
oc oc0,"w__ to endure sth without giving in, collapsing, wearing out, etc; to resist sth. building materials made to ___ extremes of temperature.",,withstand,,,
oc oc2,"n[U] 1 behaviour, esp of children, that is annoying or does slight damage, but is not wicked: do sth out of ___ +Tell the children to keep out of ___. +He’s up to (ie planning(some) ___ again! + She’s always getting into ___. IDM do sb/oneself a (infml or joc) to hurt sb/oneself physically. make ___. + __-making __vous adj. vously adv.",3/19/2012,mischief,,,
oc oc0 oc2,"‘+1 ~(to sth) (fml) 1 to be connected with or relevant to sth: [Vpr] evidence __ing to the case [V] The same rules no longer ___.
+2 adj (fml) holding firmly to an opinion or a course of action; stubborn. +__ly adv. __ity n[U]
+3 adj ~ ( to sth) (fml) relevant to sth: ___ comments/points/questions + remarks not ___ to the matter we are discussing. +___ly adv __ce n[U]",3/19/2012,"‘+1 pertain
+2 pertinacious
+3 pertinent",,,
oc,"n (infml)(usu pl) (a) money or goods received as a right from one’s employer: __s offered by the firm include a car and free health insurance. (b) an advantage or a benefit considered by an employee as part of a particular job or position: She regards free stationery as one of the __s of the job. v PHR V ___ up (infml) to become more cheerful or lively, esp after a period of illness or sadness.",3/24/2012,perk,,,
oc oc0 25 26,"n 1 (a) a brief trip away from one's home or base: Apart from an occasional ___ into town to do some shopping, we stayed at home most of the time. 2 a flight made by one aircraft during military operations. 3 an attack made by soldiers coming out from a position of defence.",5/27/2011,sortie,,,
oc oc0 oc2 oc1 25 26,_5_ v ~(at sb/sth) to speak with contempt about sb/sth; to jeer at or mock sb/sth: [Vpr] ___ at other people's beliefs,,scoff,,,
oc oc0 25 26,"n1 (usu in compounds) an officer of high rank: Air-___ (ie in the Air force.) 2 an certain public events, eg motor races or processions. 3 (US)(a) a police officer responsible for a particular area. v to arrange sb/sth in proper order.",7/26/2011,marshal,,,
oc oc0,adj attractive because of being unusual or old-fashioned: ___ little cottages on the village green +___ old customs. +__ly adv. __ness n[U],10/11/2011,quaint,,,
oc oc0 oc1 oc2 oc2,"‘+1 n a shoe made entirely of wood or with a wooden sole. + ___-dance.
+2 v ~(sth)(up)(with sth) to block sth or become blocked with thick or sticky material: [Vp] The pipes are __ing up. [Vnpr, Vnp] a drain __d (up) with dead leaves +(fig) Don’t __(up) your memory with useless facts.",2/8/2012,clog,,,
oc oc1 oc2,"v to feel hatred and disgust for sb/sth, esp for moral reasons: [Vn] ___ terrorism/terrorists. +__ence n __ent adj ~(to sb): Violence is __ent to him.",11/10/2011,abhor,,,
oc oc0 26,"v ~(in/at sth/at doing sth) to be exceptionally good at sth: [Vpr] ___ in foreign languages +The firm ___s at producing cheap radios. IDM ___ oneself   to do better than one has ever done before: His meals are always very good, but this time he's really ___d himself.",8/1/2011,excel,,,
oc oc0,1 ~sth (up) to put sth into a ___ or ___s. 2(of hunters) to kill or catch sth: [U] They ___d nothing except a couple of rabbits. 3 (Brit infml) to take or occupy sth before sb else can do so: [Vn] Quick - ___that empty table over there (eg in a crowded restaurant)! 4 (of clothes) to hang loosely and out of shape.,8/6/2011,bag,,,
oc,"g__ '+1 n (infml) a lump or drop of a thick wet substance: a ___ of butter/sauce +___s of spittle ran down his chin. 
+2 n (Brit sl offensive) the human mouth: Shut your ___ (ie Be quiet).",8/13/2011,gob,,,
oc oc0,t__ 腱,6/27/2011,tendon,,,
oc oc2,n1 [U] a kind or forgiving attitude shown towards sb one has the right or power to punish: God have ___ on his soul (eg in a prayer). +The prisoner begged for ___. 2 a piece of good luck IDM at the ___ of sb/sth in the power of sb/sth; under the control of sb/sth.,6/28/2011,mercy,,,
