13,"(D. ad 62), a queen of the Britons, ruler of the Iceni tribe in eastern England; ___ led her forces in revolt against the Romans and sacked Colchester, St Albans, and London before being defeated by the Roman governor Suetonius Paulinus.",8/23/2017,Boudicca,also known as Boadicea.," /ˈbuːdɪkə, bəʊˈdɪkə/",,,,,
,"noun (usually ___s)
A defensive wall of a castle or walled city, having a broad top with a walkway and typically a stone parapet:
a castle with ___s and a moat
• A defensive or protective barrier:
the open Pacific broke on the far-off ___s of the reef
verb [with object]
Fortify or surround with or as if with a ___:",8/26/2017,rampart,,/ˈrampɑːt/,,,,,
11 16,"c__ noun
An extended urban area, typically consisting of several towns merging with the suburbs of a central city:
the major ___s of London and Birmingham",5/5/2017,conurbation,,/ˌkɒnəˈbeɪʃ(ə)n/,,,,,
,"verb [with object]
Reduce in extent or quantity; impose a restriction on:
civil liberties were further ___d
• (___ someone of) archaic Deprive someone of (something):
I that am ___d of this fair proportion",,curtail,,,,,,,
0,"(Ad 51-96), son of Vespasian, Roman emperor 81-96; An energetic but autocratic ruler, he embarked on a major building programme, but was assassinated following a lengthy period of terror.",8/24/2017,Domitian,full name Titus Flavius Domitianus.,,,,,,
14,"noun [in singular]
The establishment or starting point of an institution or activity:
she has been on the board since its ___ two years ago",3/2/2017,inception,,,,,,,
7 15 16,"c__ noun
A confusing and difficult problem or question:
one of the most difficult ___s for the experts
• A question asked for amusement, typically one with a pun in its answer; a riddle.",7/29/2017,conundrum,,,,,,,
0 15,"noun
A jewelled crown or headband worn as a symbol of sovereignty.
• (the ___) archaic The authority or dignity symbolized by a crown:
he refused the ___ of all the Caesars",8/28/2017,diadem,,,,,,,
8 15,"noun 
s__ A brief summary or general survey of something:
a ___ of the insurance cover provided is set out below
• An outline of the plot of a play, film, or book.",7/12/2017,synopsis,(plural synopses /sɪˈnɒpsiːz/),,,,,,
,"b__ noun [mass noun]
1gold or silver in bulk before coining, or valued by weight: [with modifier] :
gold ___
2ornamental braid or fringing made with twists of gold or silver thread: [as modifier] :
___ cords",9/1/2017,bullion,,,,,,,
0 4 11 11 10,"r__ noun [mass noun] (also ___s) archaic or literary
Clothing:
ladies clothed in ___ bedecked with jewels",9/9/2016,raiment,,,,,,,
13,"noun
An ancient Roman heating system, comprising a hollow space under the floor of a building, into which hot air was directed.",3/9/2017,hypocaust,,,,,,,
9,"1A series of petitions for use in church services or processions, usually recited by the clergy and responded to in a recurring formula by the people.
2A tedious recital or repetitive series:
a ___ of complaints",6/21/2017,litany,,,,,,,
0,"adjective
knowing or using several languages:
a ___ career woman
• (of a book) having the text translated into several languages:
___ and bilingual technical dictionaries
noun
a person who knows and is able to use several languages:
Slovenians, being surrounded by many countries, are mostly ___s",9/6/2017,polyglot,,,,,,,
0 0,"a__ verb
Call or bring (someone) before a court to answer a criminal charge:
her sister was ___d on charges of attempted murder
• Find fault with; censure:
social workers were relieved it was not they who were ___d in the tabloids",8/30/2017,arraign,,/əˈreɪn/,,,,,
10,"noun [mass noun]
A material formerly or traditionally used in building walls, consisting of a network of interwoven sticks and twigs covered with mud or clay.",6/10/2017,wattle and daub,,,,,,,
