oc,"n (a) a person belonging to a group with no fixed home that travels from place to place, often in caravans. +___ v ~ (with sth) to try to repair or improve sth in a casual way, often to no useful effect: [Vpr] He likes __ing with old radios. [Vpr](fig) __ing with the tax system won’t solve the country’s economic problems. ",6/23/2012,tinker,,,
oc0 26,"noun
often humorous A letter, especially a long or official one:
yet another ___ from the Foreign Office
? Scots Law A document in the form of a letter exchanged by the parties to a contract. See also conclude ___s at conclude.",3/24/2016,missive,,,
oc,"t__ n a bunch of threads tied at one end and hanging from a cushion, hat, etc as decoration.",5/2/2011,tassel,,,
1 5 oc0,"t__ noun [mass noun]
Strong thread or string consisting of two or more strands of hemp or cotton twisted together.
verb
Wind or cause to wind round something: [no object] :
the plant will ___ round its support
[with object] :
she ___d her arms round his neck",3/2/2016,twine,,,
oc oc0,"n a tool with a sharp flat edge at the end, for shaping wood, stone or metal. +___ v (a) ~sth (into sth): [Vnpr] The sculptor __d the lump of marble into a fine statue. +[Vn](fig) a woman with (finely) __d (ie very sharp and clear) features [also V]. (b): a temple __d out of solid rock.",10/11/2012,chisel,,,
oc,"n [U] sand, mud, etc carried by flowing water and left at the mouth of a river, in a harbour, etc. +__ v PHR V ___ sth up: The harbour has __d up. + Sand has __d up the mouth of the river. __y adj.",10/6/2012,silt,,,
oc,v (derog) to put ideas or material into a new form with no change or improvement: [Vn] The group is __ing its old hits. +His essay was just a __d version of my lecture notes. +__ n [sing] a ___ of last summer’s programme.,10/7/2012,rehash,,,
oc,"n[U] 1 any thick oily substance, eg that used to help machines run smoothly: Before using varnish make sure the surface is free from ___ 2.
___y adj 2 intending to please or praise sb, but without being sincere.",6/15/2011,grease,,,
oc oc0 oc2 26,"d_10_ v (often passive) to confuse, upset or embarrass sb: [Vn] He was ___d to find the other guests formally dressed.",,disconcert,,,
oc 26 ,f__ 1 to throw sth violently or angrily: [Vnpr] ___ a stone at a window 2 to put or push sb/sth somewhere quickly or roughly and forcefully 3 to move oneself or part of one's body suddenly or forcefully. 4 ~sth (at sb) to say or express sth to sb aggressively,,fling,,,
oc oc3,"_8_ n 1 a fight between small groups of soldiers, ships, etc, esp one that is not planned: a brief ___ on the frontier. 2 a fierce argument, eg between political opponents: a ___ between the two party leaders. Compare pitched battle. +____ v [V] __er n. __ing n [U]",3/28/2012,skirmish,,,
oc,w__ IDM (be/go) on the ___ (infml) angry and wanting to be aggressive towards sb: Look out ?- the boss is on the ___ again!,7/4/2012,warpath,,,
oc,adj showing care and effort in one’s work or duties: a ___ worker/student +The letter was found after a ___ search in the files. ___ly adv.,5/4/2011,diligent,,,
oc,"v (pt,pp __d) ~(with sth) to obey a command rule, request, etc: [V] There are stiff penalties for failing/refusing to ___. [Vpr] The Courts ordered them to ___ fully with EC directives on equal treatment for woman. + Certain conditions have to be __d with. See also __ance.",9/30/2012,comply,,,
oc 26 27,"n a man who calls Muslims to prayer, usu from the tower of a mosque.",6/5/2011,muezzin,,,
oc,adj holding the attention completely: a ___ performance/quality. + _pp_ adj [usu pred] with the attention held as if by a magical spell: He has the personality and presence to hold audiences _pp_.,8/16/2011,spellbinding,,,
oc oc0 26,"c__ v 1 (often derog) to do sth that one clearly thinks is below one's dignity or level of importance: 2 ~to sb (derog) to behave in a kind or polite way, but so as to show that one feels one is better than other people.",,condescend,,,
oc oc0,"v 1 ~sth (up) to disturb the smooth surface of sth: [Vn] a breeze ___ing the calm surface of the lake 2 (esp passive) to make sb annoyed, worried or confused",,ruffle,,,
oc 27,d__ adj 1 (a) proper; acceptable; satisfactory 2 not likely to shock or embarrass others; respectable: That dress isn’t ___.,,decent,,,
oc,l__ conjunction   to fear that,,lest,,,
oc,n 1 a device for controlling the flow of liquid or gas out of a pipe or container v 1 (a) to draw liquid from a container 2 to cut the bark of a tree in order to collect the sap.,,tap,,,
oc oc0,"IDM to consider the importance of a particular factor, consequence, etc when making a decision: You must ___ his age ___ ___ when you judge his performance.",,"take account of sth
take sth into account",,,
oc oc0 27,"c__ a small group of highly trained soldiers, workers, managers, etc.",,cadre,,,
