oc oc1,"ADJECTIVE 1technical Nearer the front, especially in the front of the body, or nearer to the head or forepart.  ‘the veins ___ to the heart’ The opposite of posterior",8/14/2014,anterior,,
oc oc1,NOUN 1A pattern of spirals or concentric circles.  ‘Shelley drew larger and larger dark ___s on her notepad’    1.1Zoology Each of the turns or convolutions in the shell of a gastropod or ammonoid mollusc.  ,9/25/2014,whorl,,
oc oc1,NOUN 1Anatomy The female external genitals.  1.1Zoology The external opening of the vagina or reproductive tract in a female mammal or nematode.,9/21/2014,vulva,,
oc oc1,NOUN The whole passage along which food passes through the body from mouth to anus during digestion.    ,8/10/2014,alimentary canal,,
oc oc1,"NOUN Any of a number of bivalve molluscs with a brown or purplish-black shell.  a marine bivalve which uses byssus threads to anchor to a firm surface (family Mytilidae, order Mytiloidea), including the edible ___ (Mytilus edulis). and a freshwater bivalve which typically lies on the bed of a river, some species forming small pearls (family Unionidae, order Unionoida).  ",9/4/2014,mussel,,
oc oc1,n often with modifier 1A young person with exceptional qualities or abilities.  ‘a Russian pianist who was a child ___ in his day’    1.1An outstanding example of a particular quality. ‘Germany seemed a ___ of industrial discipline’,1/29/2015,prodigy,,
oc oc1,"_6_ NOUN An implement consisting of a heavy frame set with teeth or tines which is dragged over ploughed land to break up clods, remove weeds, and cover seed.",12/2/2014,harrow,,
oc oc1,ADJECTIVE Extremely unpleasant; repulsive.  ‘a pretty ___ character’ ‘___ hypocrisy’   ,3/15/2015,odious,,
oc oc1,"VERB [WITH OBJECT] 1Work (moistened flour or clay) into dough or paste with the hands.     1.1Make (bread or pottery) by ___ing flour or clay. ‘Whatever political correctness may say on the subject, ___ing bread is undoubtedly women's work.’",12/1/2014,knead,,
oc oc1,NOUN mass noun 1Rolls of pasta stuffed with a meat or vegetable mixture.    1.1An Italian dish consisting of ___ cooked in a cheese sauce. ,9/19/2014,cannelloni,,
oc oc0 oc1,"v 1 (of liquids) to move about making bubbles or waves as if boiling: [V] They fell into the __ing waters of the rapids. 2 ~(with sth) (a) (esp in the continuous tenses) to be very angry, upset, etc: [V, Vpr] She was __ing (with rage) at his remarks. (b) to be crowded.",8/13/2012,seethe,,
oc oc0 oc1,"ADJECTIVE & ADVERB

(of information or experience) from the original source or personal experience; direct.
as adjective ‘neither of them had any ___ knowledge of Andean culture’
as adverb ‘this is something you have to hear ___’",5/27/2013,firsthand,,
oc oc0 oc1 oc3,"VERB

1with object Attempt to sell (something), typically by a direct or persistent approach.
‘Sanjay was __ing his wares’
no object ‘shop managers would stand in the street __ing for business’  
1.1Attempt to persuade people of the merits of.
‘she was __d as a potential Prime Minister’  
1.2British Sell (a ticket) for an event at a price higher than the official one.
‘he made his fortune __ing tickets’
2North American no object Offer racing tips for a share of any resulting winnings.",4/24/2012,tout,,
oc oc0 oc1 oc3,PHRASAL VERB 1Deputize.  ‘Brown __d for the injured Simpson’    2Nautical Sail closer to the shore.,4/15/2013,stand in,,
oc oc0 oc1 oc3,v [WITH OBJECT] Care for and protect in an overindulgent way.  ‘all her life she'd been __d by her family’,6/11/2013,cosset,,
oc oc0 oc1 oc3,"VERB [WITH OBJECT] 1Cancel or postpone the punishment of (someone, especially someone condemned to death)  ‘under the new regime, prisoners under sentence of death were __d’    1.1Abandon or postpone plans to close or abolish (something) ‘the threatened pits could be __d’",1/23/2013,reprieve,,
oc oc0 oc1 oc3,"NOUN 1The flat surface forming the stern of a boat.    1.1A horizontal beam reinforcing the stern of a boat. ‘But the second boat was deeper down in the peat, and although twisted and snapped by the river over the course of time was still complete, with a ___ and wooden cross-braces.’",7/23/2014,transom,,
oc oc0 oc1 oc3,"VERB [NO OBJECT] Dispute or bargain persistently, especially over the cost of something.  ‘the two sides are ___ing over television rights’",8/12/2012,haggle,,
oc oc0 oc1 oc3,n 1The omission from speech or writing of a word or words that are superfluous or able to be understood from contextual clues.  ‘it is very rare for an ___ to occur without a linguistic antecedent’ mass noun ‘an example of ___’,11/1/2013,ellipsis,,
oc oc0 oc1 oc3,NOUN Architecture A wedge-shaped or tapered stone used to construct an arch.   ,1/3/2014,voussoir,,
oc oc0 oc1,PHRASAL VERB 1Succeed in surviving or dealing with (an illness or ordeal)  ‘she's ___ ___ the operation very well’   2(of a message) be sent and received.  ‘a telephone call __d ___ from Number 10’    2.1(of an official decree) be processed and notified. ‘his divorce __d ___ ’ ,5/29/2013,come through,,
oc oc0 oc1,d__ NOUN datedBritish A person who sells textile fabrics.  ‘as a young man he was employed in a __'s shop’,6/14/2013,draper,,
oc oc0 oc1,VERB [NO OBJECT] 1Make a hollow bubbling sound like that made by water running out of a bottle.  ‘my stomach __d’    1.1with adverbial of direction (of a liquid) run or flow with a __ing sound. ‘the rain __d along the gutters’    1.2(of a baby) make a contented sound. ‘the baby snuggled closer to Julie and __d’,1/2/2013,gurgle,,
oc oc0 oc1,"NOUN 1A long, thin line or mark of a different substance or colour from its surroundings.  ‘a ___ of oil’    1.1Microbiology A narrow line of bacteria smeared on the surface of a solid culture medium.    2An element of a specified kind in someone's character.  ‘there's a ___ of insanity in the family’ ‘Lucy had a ruthless ___’",8/19/2012,streak,,
oc oc0 oc1,"VERB [WITH OBJECT] 1Kill, destroy, or remove a large proportion of.  ‘the inhabitants of the country had been __d’    1.1Drastically reduce the strength or effectiveness of (something) ‘public transport has been __d’",6/20/2012,decimate,,
oc oc0 oc1,"s__ NOUN mass noun 1Medicine Abnormal hardening of body tissue.    1.1A chronic, typically progressive disease involving damage to the sheaths of nerve cells in the brain and spinal cord, whose symptoms may include numbness, impairment of speech and of muscular coordination, blurred vision, and severe fatigue. Also called disseminated ___   2Excessive resistance to change.  ‘the challenge was to avoid institutional ___’",5/19/2013,sclerosis,,
oc oc0 oc1,"VERB [WITH OBJECT] 1Expel large quantities of (something) rapidly and forcibly.  ‘buses were ___ing out black clouds of exhaust’    1.1no object, with adverbial of direction Be poured or forced out in large quantities. ‘great screeds of paper ___d out of the computer’",3/24/2013,spew,,
oc oc0 oc1,h__ NOUN 1A portion of food served to one person at one time.  ‘there will be enough for six ___s’    1.1A quantity of something. ‘it's a powerful ballad tinged with a huge ___ of gospel vibes’,8/2/2013,helping,,
oc oc0 oc1,"n 1An underlying layer or substance, in particular a layer of rock or soil beneath the surface of the ground.  ‘the plant will grow very rapidly and send out runners above the ___’ ‘a geological ___’ ‘whole ___s of society’   1.1A foundation or basis of something. ‘there is a broad ___ of truth in her story’",8/18/2013,substratum,,
oc oc0 oc1,"ADJECTIVE 1Servile or submissive.  ‘he noted the ___, feudal respect they had for her’    1.1Showing no attempt at originality. ‘a ___ adherence to protocol’",9/19/2013,slavish,,
oc oc0 oc1,"VERB [NO OBJECT] often as adjective ___ing 1Begin to grow or increase rapidly; flourish.  ‘manufacturers are keen to cash in on the ___ing demand’    1.1archaic, literary Put forth young shoots; bud.",11/12/2013,burgeon,,
oc oc0 oc1,"ADJECTIVE 1Not allowing fluid to pass through.  ‘an ___ layer of basaltic clay’    2 toUnable to be affected by.  ‘he worked, apparently ___ to the heat’",1/9/2014,impervious,,
oc oc0 oc1,"NOUN 1A young trainee in the armed services or police force.  ‘an air ___’   1.1A boy or girl of 13–18 who undergoes voluntary army, navy, or air force training together with adventure training.",3/3/2014,cadet,,
oc oc0 oc1,"NOUN mass noun 1Physical or mental effort.  ‘she was panting with the ___’ count noun ‘a well-earned rest after their ___s’    2The application of a force, influence, or quality.  ‘the ___ of authority’",3/16/2014,exertion,,
oc oc0 oc1,ADJECTIVE Having or showing a confident and forceful personality.  ‘the job may call for ___ behaviour’,9/10/2013,assertive,,
oc oc0 oc1,"VERB [NO OBJECT] 1(of an animal, especially a pig) make a low, short guttural sound.  ‘an enormous pig ___d and shuffled in a sty outside’   1.1(of a person) make a low inarticulate sound, typically to express effort or indicate assent. ‘the men cursed and ___d as they lassoed the steer’",3/22/2014,grunt,,
oc oc0 oc1,__ v with object and negative 1formal Deny or contradict (a fact or statement)  ‘the impact of the railways cannot be ___d’    1.1Speak against or oppose (someone) ‘none could ___ her’,5/16/2014,gainsay,,
oc oc0 oc1,"b__ VERB [NO OBJECT] 1Talk rapidly and continuously in a foolish, excited, or incomprehensible way.  ‘they ___d on about their holiday’   ",6/3/2014,babble,,
oc oc0 oc1,PHRASE Object strongly to.  ‘many viewers ___d great ___ ___ the programme's content’   ,1/8/2014,take exception to sth,,
oc oc0 oc1,"n A wooden framework with holes for the head and hands, in which offenders were formerly imprisoned and exposed to public abuse.    ",7/6/2014,pillory,,
oc oc0 oc1 oc3,NOUN 1A strong verbal or written attack on someone or something.  ‘his ___ against the cultural relativism of the Sixties’ mass noun ‘a writer of feminist ___’    1.1usually ___s The practice of engaging in controversial debate or dispute.,9/15/2013,polemic,,
oc oc0 oc1 oc3,adj 1Insubstantial and easily damaged.  ‘a ___ barrier’    1.1(of clothing) very light and thin. ‘the ___ garment fell from her’,4/12/2014,flimsy,,
oc oc0 oc1 oc3,"VERB no object, with adverbial of direction Skip or dance about in a lively or playful way.  ‘children were ___ing about the room’   ",5/24/2014,caper,,
oc oc0 oc1 oc3,v [WITH OBJECT] 1Gradually but firmly establish (an idea or attitude) in a person's mind.  ‘the standards her parents had ___d into her’,3/18/2013,instil,,
oc oc0 oc1 oc3,VERB [NO OBJECT] 1Think deeply about something.  ‘we sat ___ing on the nature of existence’    2(of a ___ant) chew the cud.  ‘goats ___d nonchalantly around them’,8/29/2014,ruminate,,
oc oc0 oc1 oc3,"VERB [NO OBJECT] 1(of a person or animal) emit a deep loud roar, typically in pain or anger.  ‘he ___d in agony’   ",6/6/2014,bellow,,
oc oc0 oc1 oc3,ADJECTIVE 1Anatomy Relating to or denoting the arteries which surround and supply the heart.    1.1Relating to or denoting a structure which encircles a part of the body. ,10/7/2014,coronary,,
oc oc0 oc1 oc3,"ADJECTIVE 1(of a girl or young woman) attractively lively or cheeky.  ‘a ___, slightly plump girl called Rose’    1.1Impudent or cheeky. ‘no need to be ___, miss’ ",8/21/2014,pert,,
oc oc0 oc1 oc3,"v [WITH OBJECT] 1Interpret (a word or action) in a particular way.  ‘his words could hardly be ___d as an apology’    2dated Analyse the syntax of (a text, sentence, or word)  ‘both verbs can be ___d with either infinitive’",12/26/2014,construe,,
oc oc0 oc1 oc3,ADJECTIVE Incapable of producing any useful result; pointless.  ‘a ___ attempt to keep fans from mounting the stage’ ‘it is ___ to allocate blame for this’,2/4/2014,futile,,
oc oc0 oc1,"NOUN mass noun 1trademark in UK Material used for surfacing roads or other outdoor areas, consisting of broken stone mixed with tar.  as modifier ‘the ___ path’  ",7/10/2014,tarmac,,
oc oc0 oc1,NOUN 1An escape of blood from a ruptured blood vessel.  ‘a massive ___ of the brain’   1.1A damaging loss of valuable people or resources. ‘a ___ of highly qualified teachers’  ,7/18/2014,haemorrhage,,
oc oc0 oc1,VERB [NO OBJECT] 1Make a feeble hissing or spluttering sound.  ‘the strobe lights ___d and flickered’    1.1End or fail in a weak or disappointing way.,7/1/2014,fizzle,,
oc oc0 oc1,n mass noun 1Anatomy The thin tissue forming the outer layer of a body's surface and lining the alimentary canal and other hollow structures.   ,8/3/2014,epithelium,,
oc oc0 oc1,NOUN An expert judge in matters of taste.  ‘a ___ of music’ ,10/30/2013,connoisseur,,
oc oc0 oc1,NOUN A tiny piece of a substance; a speck.  ‘the tiniest ___ of dust’   ,8/27/2014,mote,,
oc oc0 oc1,"ADJECTIVE Harmful, poisonous, or very unpleasant.  ‘they were overcome by the ___ fumes’   ",3/29/2014,noxious,,
oc oc0 oc1,NOUN mass noun Comfort or consolation in a time of great distress or sadness.  ‘she sought ___ in her religion’,5/31/2014,solace,,
oc oc0 oc1,ADJECTIVE 1(of a person) pleasing or liked on account of having qualities or interests that are similar to one's own.  ‘his need for some ___ company’    1.1(of a thing) pleasant or agreeable because suited to one's taste or inclination. ,10/31/2013,congenial,,
oc oc0 oc1,"NOUN mass noun 1(in some Christian beliefs) the supposed abode of the souls of unbaptized infants, and of the just who died before Christ's coming.  ",12/9/2013,limbo,,
oc oc0 oc1,"VERB 1no object, with adverbial of direction Move lightly and quickly or hurriedly.  ‘the girls ___d up the stairs’ ‘her mind ___d back to that day at the office’    ",5/29/2014,skitter,,
oc oc0 oc1,NOUN A row or commotion.  ‘a child is raising a ___ in class’ mass noun ‘there's enough ___ over identity cards’   ,4/14/2014,ruckus,,
oc oc0 oc1,"ADJECTIVE 1Providing necessary support to the primary activities or operation of an organization, system, etc.  ‘___ staff’    1.1In addition to something else, but not as important. ‘paragraph 19 was merely ___ to paragraph 16’",11/9/2013,ancillary,,
oc oc0 oc1,NOUN historical 1A gallows.     1.1An upright post with an arm on which the bodies of executed criminals were left hanging as a warning or deterrent to others.,11/7/2014,gibbet,,
oc oc0 oc1,NOUN 1The track or scent of an animal.  ‘they searched around the hut for a ___’ mass noun ‘the trail is marked by wolf ___’    1.1South African The track of a wagon or motor vehicle.,11/8/2014,spoor,,
oc oc0 oc1,"NOUN 1usually as modifier A carpet or rug with a long, rough pile.  ‘wall-to-wall ___ carpet’    1.1as modifier (of a pile) long and rough. ‘a ___ pile’",6/27/2014,shag,,
oc oc0 oc1,"NOUN 1A thickened and hardened part of the skin or soft tissue, especially in an area that has been subjected to friction.    1.1Medicine The bony healing tissue which forms around the ends of broken bone. ",12/4/2014,callus,,
oc oc0 oc1,ADJECTIVE 1Having a meaning that is mysterious or obscure.  ‘he found his boss's utterances too ___’    1.1(of a crossword) having difficult clues which indicate the solutions indirectly.,11/28/2014,cryptic,,
oc oc0 oc1,NOUN mass noun 1Great technical skill and brilliance shown in a performance or activity.  ‘the recital ended with a blazing display of ___’ as modifier ‘a ___ performance’,6/5/2014,bravura,,
oc oc0 oc1,"NOUN 1A round root with white or cream flesh which is eaten as a vegetable and also has edible leaves.    1.1A root that is similar or related to the ___, especially a swede.",12/16/2014,turnip,,
