,"NOUN

mass noun
A synthetic resin which is a polymer of styrene, used chiefly as lightweight rigid foams and films.
‘these plaques are moulded in black ___’
as modifier ‘a ___ cup’  
‘The polymer ___ contains the phenyl group as part of its repeat unit.’",7/12/2019,polystyrene,,/ pɑ̀lìstáɪrìn / ,
,"___ is a group of protostome animals, including Arthropoda (insects, chelicerata, crustaceans, and myriapods), Nematoda, and several smaller phyla. They were first defined by Aguinaldo et al. in 1997, based mainly on phylogenetic trees constructed using 18S ribosomal RNA genes.",7/13/2019,Ecdysozoa,,/ˌɛkdɪsoʊˈzoʊə/,
5 6,"Botany 
The female organs of a flower, comprising the stigma, style, and ovary.  雌蕊、雌蘂、しずい、めしべ
‘Five __s were dissected from flowers and the stigmas and styles were mounted on aluminium stubs using carbon paste.’",7/18/2019,pistil,,,
0 0 0 7 9,"ADJECTIVE

Relating to the lungs.
‘___ blood flow’  
‘A blockage in the lungs is called ___ embolism and can cause of sudden, unexpected death.’",7/15/2019,pulmonary,,/ˈpʌlmən(ə)ri/,
0,"NOUN

1Anatomy 
A hollow part or cavity in an organ.
‘It communicated with the left ___ through an orifice surrounded by pearly endocardial plaque.’
‘As the impulse travels down the bundles, the __s contract and the cycle repeats itself.
1.1Each of the two main chambers of the heart, left and right.  
1.2Each of the four connected fluid-filled cavities in the centre of the brain.",7/14/2019,ventricle,,/ˈvɛntrɪk(ə)l/ ,
0 5 7 8,"p__ 
PLURAL NOUN

Zoology 
A small phylum of burrowing wormlike marine invertebrates that have a thick body, a large eversible proboscis, and a terminal tail. 鰓曳動物
えらひきどうぶつ",7/19/2019,priapulida,,/ˌprʌɪəˈpjʊlɪdə/,
,"h__ NOUN __s

A surgical operation to remove all or part of the uterus.
‘she had to have a ___’
mass noun ‘the belief that ___ affects bowel function’  
‘Laparoscopic ___ may help to avoid a laparotomy, but urinary tract injury is a genuine concern.’",7/16/2019,hysterectomy,,,
0,"k__ PLURAL NOUN

Zoology 
A small phylum of minute marine invertebrates that have a spiny body and burrow in sand or mud.  動吻動物
どうふんどうぶつ
‘I was assigned the ___, Tardigrada and Priapulida as topics to present.’",7/20/2019,kinorhyncha,,/ˌkʌɪnə(ʊ)ˈrɪŋkə/ ,
1,"NOUN __s

1A female reproductive organ in which ova or eggs are produced, present in humans and other vertebrates as a pair.  卵巣
‘The remaining uterus, cervix, __s, and fallopian tubes were otherwise unremarkable.’
1.1Botany The hollow base of the carpel of a flower, containing one or more __s.",7/17/2019,ovary,,,
,"PLURAL NOUN

Zoology 
A large phylum of worms with slender, unsegmented, cylindrical bodies, including the roundworms, threadworms, and eelworms. They are found abundantly in soil and water, and many are parasites.線形動物せんけいどうぶつ",7/21/2019,nematoda,,,
,"PLURAL NOUN

Zoology 
A small phylum that comprises the horsehair worms.  類線形動物るいせんけいどうぶつ
‘They concluded that Gastrotricha is the sister-taxon of a monophyletic clade comprising Nematoda, ___, Priapulida, Kinorhyncha and Loricifera.’",7/22/2019,nematomorpha,,,
