,"2Feel, show, or express great anger.
‘he is ___ing over the interference in his work’",11/23/2017,fume,,,
6 8 9 11 13 12,"l__ verb [with adverbial of direction]
(With reference to a soluble chemical or mineral) drain away from soil, ash, or similar material by the action of percolating liquid, especially rainwater: [with object] :",4/17/2016,leach,,,
0 0,"NOUN

mass noun
1An obsessive interest in or feeling about someone or something.
‘our ___ with diet and fitness’",11/26/2017,fixation,,,
0 0 0 4 4 10,"fr adjective
Slightly indecent and liable to shock, especially by being sexually suggestive:
his ___ humour",7/2/2017,risqué,,"/rɪˈskeɪ, ˈrɪskeɪ, ˈriːskeɪ/",
13 13 14 15,"noun [mass noun]
Long life:
the greater ___ of women compared with men
• Long existence or service:
her ___ in office now appeared as a handicap to the party",6/15/2017,longevity,,,
0 0,"n__ 2informal Mad.
‘he came up with a few __ proposals’",11/26/2017,nutty,,,
0,"ADJECTIVE

1informal Mad or silly.
‘a __ grin’
2Having many _(n)_s.
‘a big, ___ signature’",11/28/2017,loopy,,,
10 9,"1The highest point in the development of something; a culmination or climax:
his appearance as Hamlet was the ___ of his career
2The elevation of someone to divine status:
death spared Pompey the task of having to account for the ___ of Caesar",6/5/2017,apotheosis,,,
12 12 13 15,"ADJECTIVE

Not candid or sincere, typically by pretending that one knows less about something than one really does.
‘this journalist was being somewhat ___ as well as cynical’",11/19/2017,disingenuous,,,
0 0 13,"pu_ ADJECTIVE

informal 
(of a person or part of their body) rather fat.
‘his ___ fingers’",11/27/2017,pudgy,,,
0 11 12,"noun [mass noun] Biochemistry
A fibrous protein which forms (together with actin) the contractile filaments of muscle cells and is also involved in motion in other types of cell.",2/19/2017,myosin,,/ˈmʌɪə(ʊ)sɪn/,
,"ADJECTIVE
Filled with _(n)_ or wonder.
‘he spoke in a hushed, ___ whisper’
‘I watched her in ___ silence’",11/29/2017,awed,,,
7 11 12 15,"e__ noun
A pithy saying or remark expressing an idea in a clever and amusing way:
a Wildean ___
• A short poem, especially a satirical one, with a witty or ingenious ending.",7/2/2017,epigram,,,
,"d__ NOUN
mass noun
Medicine 
A chronic or persistent disorder of the mental processes caused by brain disease or injury and marked by memory disorders, personality changes, and impaired reasoning. 認知症",12/2/2017,dementia,,,
5 7 12,"__ __ noun
a young foreign person, typically a woman, who helps with housework or childcare in exchange for food, a room, and some pocket money: [as modifier] :
an ___ agency",10/1/2017,au pair,, /əʊ ˈpɛː/,
0 3 4 10 12,"a__ adjective
(Of a story or statement) of doubtful authenticity, although widely circulated as being true:
an ___ story about a former president
his alleged description of opera as ‘fat gits singing’ is probably ___",7/23/2017,apocryphal,,əˈpɒkrɪf(ə)l/,
0 0 6 15,"f__ NOUN

1An expression of vehement protest.
‘the __s of media moralists’
2A violent explosion or a flash like lightning.
‘a second of silence, not long enough for the echo of the previous ___s to fade away’",11/4/2017,fulmination,,,
9,"1tense, nervous, or irritable:
he became ___ and defensive
• (of a musical performance or piece of writing) having an intense or sharp quality:
tremendously ___ brass playing
2informal at the forefront of a trend; experimental or avant-garde:",9/19/2017,edgy,,,
,"VERB

[NO OBJECT]
___ from
1(of a feeling, quality, or sensation) issue or spread out from (a source)
‘warmth ___d from the fireplace’
‘she felt an undeniable charm __ing from him’
1.1 Originate from; be produced by.
‘the proposals ___d from a committee’",12/3/2017,emanate,,,
8 9 8 7 6,"noun
An aggressive or unkempt dog, especially a mongrel.
• informal A contemptible man.",3/25/2017,cur,,,
