2,"VERB

[WITH OBJECT]
1Geometry 
(of a line, arc, or figure) form (an angle) at a particular point when straight lines from its extremities are joined at that point.
‘the angle __d by a string of length r at the centre of the sphere’  
1.1(of an angle or chord) have bounding lines or points that meet or coincide with those of (a line or arc).",11/18/2019,subtend,,,
,"NOUN

mass noun
1Chemistry 
A colourless crystalline compound with basic properties.
A heteroaromatic compound; chemical formula: C₄H₄N₂  
1.1count noun A substituted derivative of ___, especially the bases thymine and cytosine present in DNA.",11/17/2019,pyrimidine,,/pɪˈrɪmɪdiːn/ ,
,"ADJECTIVE

Relating to or denoting the era between the Palaeozoic and Cenozoic eras, comprising the Triassic, Jurassic, and Cretaceous periods. 中生代
‘fossils of ___ birds have been described at an unprecedented rate’",11/19/2019,Mesozoic,,,
,"NOUN

mass noun
Biochemistry 
An amino acid which is a constituent of most proteins, especially collagen.
A heterocyclic compound; chemical formula: C₅H₉NO₂",11/20/2019,proline,,,
4,"i__ NOUN

mass noun
Biochemistry 
A simple carbohydrate which occurs in animal and plant tissue and is a vitamin of the B group.
Alternative name: hexahydroxycyclohexane; chemical formula: C₆H₁₂O₆",11/22/2019,inositol,,/ʌɪˈnəʊsɪtɒl/,
0,"In molecular biology, the ___ domain (FAS1 domain) is an extracellular domain of about 140 amino acid residues. It has been suggested that the FAS1 domain represents an ancient cell adhesion domain common to plants and animals;[1] related FAS1 domains are also found in bacteria.[2]",11/21/2019,fasciclin,,,
,"NOUN

1British A garment consisting of trousers with a bib held up by straps over the shoulders, made of calico, denim, or a similar material and worn as casual or working clothes.",11/23/2019,dungarees,,/ˌdʌŋɡəˈriː/,
,"___, also known as 5′-uridylic acid (conjugate base uridylate), is a nucleotide that is used as a monomer in RNA. It is an ester of phosphoric acid with the nucleoside uridine. ___ consists of the phosphate group, the pentose sugar ribose, and the nucleobase uracil; hence, it is a ribonucleotide monophosphate.",11/24/2019,Uridine monophosphate,(UMP),,
,"NOUN

Biochemistry 
usually with modifier
An enzyme that catalyses the transfer of a phosphate group from ATP to a specified molecule.",11/25/2019,kinase,,,
,"NOUN

Zoology 
A cartilaginous skeletal rod supporting the body in all embryonic and some adult chordate animals.",11/26/2019,notochord,,,
,"c__ ADJECTIVE

Relating to or denoting the most recent era, following the Mesozoic era and comprising the Tertiary and Quaternary periods. 新生代
The ___ has lasted from about 65 million years ago to the present day. It has seen the rapid evolution and rise to dominance of mammals, birds, and flowering plants
",11/27/2019,Cenozoic,also Cainozoic,/ˌsiːnəˈzəʊɪk/,
,"ADJECTIVE

Relating to or denoting the last period of the Mesozoic era, between the Jurassic and Tertiary periods. 白亜紀
‘the lizard was believed to have lived during the ___ period’",11/28/2019,Cretaceous,,/krɪˈteɪʃəs/ ,
0,"NOUN

1historical A calf-high or knee-high boot of cloth or leather.  
1.1A thick-soled laced boot worn by an ancient Athenian tragic actor to gain height.  
1.2the ___ The style or spirit of tragic drama.",11/29/2019,buskin,,,
5,"ADJECTIVE

1Third in order or level.
‘the ___ stage of the disease’  
1.1British Relating to or denoting education at a level beyond that provided by schools, especially that provided by a college or university.  
2
(also ___)
Geology 
Relating to or denoting the first period of the Cenozoic era, between the Cretaceous and Quaternary periods, and comprising the Palaeogene and Neogene sub-periods. 第三紀",11/30/2019,Tertiary,,/ˈtəːʃ(ə)ri/,
,"ADJECTIVE

1Fourth in order or rank; belonging to the fourth order.  
2
(also ___)
Geology 
Relating to or denoting the most recent period in the Cenozoic era, following the Tertiary period and comprising the Pleistocene and Holocene epochs. 第四紀  
3Chemistry 
Denoting an ammonium compound containing a cation of the form NR₄⁺, where R represents organic groups or atoms other than hydrogen.",12/1/2019,Quaternary,,,
,"NOUN

mass noun
1British A type of cotton cloth, typically plain white or unbleached. 更紗(さらさ)
as modifier ‘a ___ dress’  
1.1North American Printed cotton fabric.
‘his trousers were of striped ___’
count noun ‘muslins and __s became the fashionable fabrics’",12/2/2019,calico,,,
,"ADJECTIVE

Relating to or denoting the first epoch of the Quaternary period, between the Pliocene and Holocene epochs.更新世
‘at the end of the ___ era sea levels increased’",12/3/2019,Pleistocene,,,
,"NOUN

A woman or girl with dark brown hair.
‘she's a gorgeous, green-eyed ___’",12/4/2019,brunette,,,
