oc0,"noun [mass noun]
1The medieval knightly system with its religious, moral, and social code:
the age of ____
? The combination of qualities expected of an ideal knight, namely courage, honour, courtesy, justice, and a readiness to help the weak:
tales of ____ and knightly deeds
? Courteous behaviour, especially that of a man towards women:
he still retained a sense of ____ towards women",12/10/2015,chivalry,,/???v(?)lri/,
0 oc0,"adjective
Reluctant to draw attention to oneself; shy:
everything you need to know but have been too ____ to ask
suddenly ____, she could think of nothing to say
don’t be ____ about telling folk how you feel",12/11/2015,bashful,,,
oc 22,to commit a crime,,perpetrate,,,
,"noun [in singular]
A state of near-unconsciousness or insensibility:
a drunken ___",12/13/2015,stupor,,,
oc oc0 oc0 oc3,e__ adj thin and weak: he looks very ____ after his long illness.,,emaciated,,,
oc oc0,"v to press or rub sb/sth gently with the mouth or nose: [Vn]; [Vpr, Vp] The dog ___d (up) against me on the sofa.",6/4/2011,nuzzle,,,
oc oc0,a__ v to change sth slightly in order to correct an error; to make an improvement in sth: [Vn] ____ a document/proposal/law + The Official Secrets Act has been ___d to prevent further leaks.,2/8/2011,amend,,,
oc oc0 oc3 23,"p_7_ n ~(of sth)(fml) a sign or warning of a future event, often an unpleasant one; an omen: The event proved to be a ____ of the disaster that was to come.",,portent,,,
oc oc0,v 1(esp passive)(of sth undesirable) to spread over and occupy a place in great numbers: [Vn] a warehouse ____ by rats 2 to continue beyond or exceed the time allowed or the expected cost: [Vpr] The lecture ___d by ten minutes. [Vn],2/20/2011,overrun,,,
oc0 oc0 oc2,"w__ verb [no object]
Make a slight involuntary grimace or shrinking movement of the body out of pain or distress:
he ___d at the disgust in her voice",9/18/2015,wince1,,,
oc oc0,adj ~(for sth/sb) (to do sth) (fml) giving or indicating a good chance of success; favorable: It was not a ____ time to start a new business.,1/25/2011,propitious,,,
oc0 22 23,"q__ noun
A soft boggy area of land that gives way underfoot:
torrential rain turned the building site into a ____
? An awkward, complex, or hazardous situation:
a legal ____",12/14/2015,quagmire,,,
22,"verb [with object]
1Enjoy greatly:
he was ___ing his moment of glory
? Anticipate with pleasure:
we did not ____ the idea of a strike",9/30/2015,relish,,,
oc oc0,"n +___v to make a gesture to sb showing what one wants them to do, where they should go, etc: [Vpr] He ___d to the waiter. [Vn.to inf, Vpr. to inf] He ___d (to) me to sit down. [Vpr. to inf] The old lady ___d for him to get out. [Vnpr] ___ sb to a chair [also Vnp].",6/25/2011,motion,,,
oc oc0,m__ v (usu passive) to cause sb to be very ashamed or embarrassed: [Vn] He was/felt ___d that he hadn't been invited.,,mortify,,,
oc oc0 oc2 22 23,c__ n [CGp] 1(a) a military force composed of two or more divisions: the 6th Army _cap_. (b) one of the technical branches of an army: the Royal Army Medical _cap_. 2 a group of people involved in a particular activity: the Diplomatic _cap_ (i.e. all the people representing foreign states in a particular country).,2/15/2011,corps,,/k??/,
5 4 6 5 8 oc0 oc0 oc3 23,"r__ verb [no object]
1(Of a comment or fact) cause continuing annoyance or resentment:
the casual manner of his dismissal still ___s
? [with object] Annoy or irritate (someone):
Lisa was ___d by his assertion
2archaic (Of a wound or sore) continue to be painful; fester:
the wound is but skinned over and ___s still at the bottom",4/25/2015,rankle,,/?ra?k(?)l/,"Middle English: from Old French rancler, from rancle, draoncle 'festering sore', from an alteration of medieval Latin dracunculus, diminutive of draco 'serpent'"
2 oc0,"j__ Poke roughly or quickly, especially with something sharp or pointed:
she ___d him in his ribs
[no object] :
he ___d at the air with his finger
? Roughly or quickly thrust (a sharp or pointed object) someone or something:
she ___d the fork into the earth",12/3/2015,jab,,,
oc,i__ v 1 ~sb (with sth)(esp passive) to give or send sb so many things that they have difficulty dealing with them all; to overwhelm sb 2 to cover an area with a very large amount of water; to flood a place.,,inundate,,,
oc oc0,"a hard, usu white, stone, often with dark veins, which can be highly polished. 大理石",,marble,,,
oc oc2,r__ v 1 ~sb(from sth) to wake sb: I was ___d (from my sleep) by the doorbell ringing.,,rouse,,,
oc oc2,a__ adj [usu attrib](esp Brit) (a) existing or occurring before birth (b) for pregnant women: ____ clinics,,antenatal,,,
8 7 oc0 oc3 22,"verb [with object]
Take the place of (a person or thing previously in authority or use); supplant:
the older models of car have now been ___d",5/21/2015,supersede,,/?su?p??si?d/,"Late 15th century (in the sense 'postpone, defer'): from Old French superseder, from Latin supersedere 'be superior to', from super- 'above' + sedere 'sit'. The current sense dates from the mid 17th century"
oc oc0 oc3,"b__ n 1 [sing] (a) a person's way of standing, walking, etc; deportment (a): a man of upright, military ____. (b) behaviour: her dignified ____ throughout the trial. 2 [U] ~on sth    the way in which sth is related or relevant to sth. 3 [C] (techn) a direction that is measured from a fixed point. 4 a device that allows part of a machine to turn smoothly",2/11/2011,bearing,,,
oc oc0 oc3 22,"n a large basket with a lid, esp one used to carry food, wine, etc: a picnic ____.
v (often passive) to prevent sb's free movement or activity; to restrict or hinder sb/sth: [Vn] Our progress was ___d by the bad weather.",,hamper,,,
