,"NOUN

A formal procession of people walking, on horseback, or riding in vehicles.
‘the royal ___ proceeded through the city’",12/5/2019,cavalcade,,,
,"ADJECTIVE

predicative
Lacking care or attention to duty; negligent.
‘it would be very ___ of me not to pass on that information’",12/6/2019,remiss,,,
,"NOUN

1archaic A pirate.  
1.1A pirate ship.  
1.2A privateer, especially one operating along the southern shore of the Mediterranean in the 16th–18th centuries.",12/7/2019,corsair,,/kɔːˈsɛː/,
,"ADJECTIVE

Relating to or denoting the present epoch, which is the second epoch in the Quaternary period and followed the Pleistocene. 完新世
‘subfossil material of the family has been recovered from ___ deposits on Madagascar’
Also called ""Recent""  
The ___ epoch has lasted from about 10,000 years ago to the present day. It covers the period since the ice retreated after the last glaciation and it is sometimes regarded as just another interglacial period",12/8/2019,Holocene,,,
2,"VERB

[WITH OBJECT]
1Strip the skin off (a corpse or carcass)
‘the captured general was __d alive’  
1.1Strip (the skin) off a corpse or carcass.
‘she __d the white skin from the flesh’",12/10/2019,flay,,,
,"ADJECTIVE

1Having a pleasant and distinctive smell.
‘a massage with ___ oils’  
2Chemistry 
Relating to or denoting organic compounds containing a planar unsaturated ring of atoms which is stabilized by an interaction of the bonds forming the ring, e.g. benzene and its derivatives.",12/9/2019,aromatic,,,
,"NOUN

mass noun
Infection of the intestines resulting in severe diarrhoea with the presence of blood and mucus in the faeces. 赤痢
Amoebic ___ is caused by the protozoan Entamoeba histolytica, mainly in warm climates, and spread by contaminated water and food; bacterial ___ is caused by bacteria of the genus Shigella and can also spread by contact (see and shigella and )",12/11/2019,dysentery,,,
,"NOUN

mass noun
1archaic Malaria or another illness involving fever and shivering.  
‘‘We have just moved our camp out of the cypress swamp where the men were fast succumbing to the malaria ___ and fevers at an astonishing rate,’ recorded Capt. Henry Ankey, 4th Iowa Infantry.’",12/12/2019,ague,,,
,"ADJECTIVE

Mathematics 
Relating to or in the form of a plane. 平面の
‘___ surfaces’  
‘The resulting graph is ___, that is can be drawn in the plane without any edges crossing.’",12/13/2019,planar,,,
,"NOUN

Chemistry 
A positively charged ion, i.e. one that would be attracted to the cathode in electrolysis.  
‘When two atoms swap electrons to produce a ___ and an anion, the two ions are attracted to each other.’",12/14/2019,cation,,/ˈkatʌɪən/ ,
,下痢,12/15/2019,diarrhoea,,,
,"NOUN

1
(also ___ tree)
An evergreen coniferous tree with small rounded woody cones and flattened shoots bearing small scale-like leaves. many species, including the columnar Italian ___ (Cupressus sempervirens), common throughout southern Europe. See also and Lawson's ___ イトスギ",12/16/2019,cypress,,,
,"NOUN

1A person assisting a priest in a religious service or procession.  
1.1An assistant or follower.
‘she runs the department through a small group of __s’",12/17/2019,acolyte,,,
,"ADJECTIVE

1Occurring or done in brief, irregular bursts.
‘___ fighting continued’  
2Caused by, subject to, or in the nature of a _*_ or _*_s.
‘a ___ cough’",12/18/2019,spasmodic,* spasm,,
,"VERB

[WITH OBJECT]
Make (someone) feel intimidated or apprehensive.
‘some people are __d by technology’",12/19/2019,daunt,,,
,"NOUN

1A drink poured out as an offering to a deity.
‘he poured the ___ of rum on the ground’  
1.1mass noun The pouring out of a ___.
‘gin was poured in ___’",12/20/2019,libation,,,
,"NOUN

A chiefly American herbaceous plant which bears heads of bright showy flowers, widely cultivated as a garden ornamental.",12/21/2019,verbena,,,
