,"NOUN

mass noun
Biochemistry 
A compound which is one of the four constituent bases of nucleic acids. A pyrimidine derivative, it is paired with adenine in double-stranded DNA.
Alternative name; 5-methyluracil; chemical formula: C₅H₆N₂O₂",10/20/2019,thymine,,,
6,"NOUN

A small elongated marine invertebrate that resembles a fish but lacks jaws and obvious sense organs. __s possess a notochord and are among the most primitive chordates.ナメクジウオ
Subphylum Cephalochordata, phylum Chordata: several species, including amphioxus",10/24/2019,lancelet,,,
,"ADJECTIVE

Chemistry 
Relating to or denoting chemical bonds formed by the sharing of electrons between atoms.  
‘Pairs of electrons that are not shared in ___ bonds are lone pairs.’共有結合",10/23/2019,covalent,,/kəʊˈveɪl(ə)nt/,
0,"A ___,[1] also known as a dative bond[2] or ___[3] is a kind of 2-center, 2-electron covalent bond in which the two electrons derive from the same atom. The bonding of metal ions to ligands involves this kind of interaction. This type of interaction is central to Lewis acid-base theory.配位結合",10/25/2019,coordinate covalen bond,(also coordinate bond),,
,"ADVERB & ADJECTIVE

1In the original place.
as adverb ‘frescoes have been left ___ ’
as adjective ‘a collection of ___ pumping engines’  
1.1In the appropriate position.
as adverb ‘her guests were all ___’",10/26/2019,in situ,,,
0 5 6,"NOUN

the ___ The second period of the Palaeozoic era, between the Cambrian and Silurian periods, or the system of rocks deposited during it.
‘these are mobile predators that have a fossil record reaching back to the ___’
The ___ lasted from about 510 million to 439 million years ago. It saw the diversification of many invertebrate groups and the appearance of the first vertebrates (jawless fish)",10/27/2019,Ordovician,,,
0,"NOUN

the ___ The third period of the Palaeozoic era, between the Ordovician and Devonian periods, or the system of rocks deposited during it.
‘the earliest arachnids turn up in the ___’
The ___ lasted from about 439 to 409 million years ago. The first true fish and land plants appeared, and the end of the period is marked by the climax of the Caledonian orogeny",10/28/2019,Silurian,,,
,"ADJECTIVE

1Relating to _(n)_.  
2Geology 
Relating to or denoting the fourth period of the Palaeozoic era, between the Silurian and Carboniferous periods.
The ___ period lasted from about 409 to 363 million years ago. During this period fish became abundant, the first amphibians evolved, and the first forests appeared",10/29/2019,Devonian,,,
7,"ADJECTIVE

1Geology 
Relating to or denoting the fifth period of the Palaeozoic era, between the Devonian and Permian periods.  
1.1the __as noun The ___ period or the system of rocks deposited during it.
The ___ lasted from about 363 to 290 million years ago. During this time the first reptiles and seed-bearing plants appeared, and there were extensive coral reefs and coal-forming swamp forests 石炭紀",10/30/2019,Carboniferous,,,
,"NOUN

the ___ The last period of the Palaeozoic era, between the Carboniferous and Triassic periods, or the system of rocks deposited during it.
‘trilobites disappeared in the mass extinction at the end of the ___’
The ___ lasted from about 290 million to 245 million years ago. The climate was hot and dry in many parts of the world during this period, which saw the extinction of many marine animals, including trilobites, and the proliferation of reptiles",10/31/2019,Permian,,,
