oc oc0 oc1,s___ the meaning or intention of sth: I didn't understand the ____ of his remark until later.,,significance,,,
0 12,"Ⅰ verb [with object and adverbial of direction]
Carry or drag (a heavy or bulky object) with great effort:
she began to ___ her suitcase down the stairs
Ⅱ noun 1(usually ___s) Scottish & Northern English or informal A person’s ear:
I couldn’t hear what they were saying with that leather over my ___s",8/20/2016,lug,,,
,"adjective
1Relating to the heart.
2Relating to the part of the stomach nearest the oesophagus.
noun informal
A heart attack.",11/26/2016,cardiac,,,
oc oc0 oc1 17,m___ to laugh at sth in an unkind way,,mock,,,
17,"noun [mass noun] 砒素
The chemical element of atomic number 33, a brittle steel-grey semimetal.
___ compounds (and their poisonous properties) have been known since ancient times, and the metallic form was isolated in the Middle Ages. ___ occurs naturally in orpiment, realgar, and other minerals, and rarely as the free element. ___ is used in semiconductors and some specialized alloys; its toxic compounds are widely used as herbicides and pesticides",11/28/2016,arsenic,(Symbol: As),,
,"PHR V [no object] Decide definitely in favour of (one of two or more possibilities):
offered a choice of drinks, he ___d ___ brandy",11/29/2016,plump for,,,
13,"h__ verb [with object]
Honour as holy:
the Ganges is ___d as a sacred, cleansing river
? Make holy; consecrate:(as adjective ___d)
___d ground
? (usually as adjective ___d) Greatly revere and honour:
the ___d turf of Wimbledon",8/12/2016,hallow,,,
oc oc0 oc1 15 15,"e__ v to make sb who was formerly friendly towards one become distant or hostile: [Vn] He had ___d the party leadership. + ___d adj ?(from sb) (a) (of a husband or wife) no longer living with the other partner: an attempt at reconciliation with her ___d husband. ___ment n[U,C]",10/29/2012,estrange,,,
oc oc1 16 16 16 17 18,i__ ___ ___IDM one after the other; in succession,,"in (his, its, etc) turn",,,
0 3,"noun [mass noun]
Comic verse composed in irregular rhythm: [as modifier] :
___ verses
? Verse or words that are badly written or expressed:
the last stanza deteriorates into ___",11/20/2016,doggerel,,,
,"noun
1A small T-shaped tool with a screw tip for boring holes.
2A cocktail of gin (or sometimes vodka) and lime juice.",12/3/2016,gimlet,,,
,"noun
A private meeting.
? (In the Roman Catholic Church) the assembly of cardinals for the election of a pope.
? The meeting place for a ___.",12/4/2016,conclave,,,
4 oc0,"+1 noun
A straw mattress.
? A crude or makeshift bed.
+2 1A portable platform on which goods can be stacked, stored, and moved.
2A flat wooden blade with a handle, used to shape clay or plaster.
3A projection on a machine part, serving to change the mode of motion of a wheel.
? (In a clock or watch) a projection transmitting motion from an escapement to a pendulum or balance wheel.",10/27/2015,pallet12,,,
7 8 7 oc0,"noun [mass noun]
Low spirits from loss of hope or courage; dejection:
an air of ____",4/22/2015,despondency,,/d??sp?nd(?)nsi/,
oc oc0 oc1 15,d__d ~(at/about sth) feeling rather bitter or angry because sth has happened to upset one: She's still feeling a little ____ about missing the party.,,disgruntled,,,
oc 11 15,"v to take, send or bring goods secretly and illegally into or out of a country, esp without paying customs duty.",,smuggle,,,
0 14,"noun derogatory or humorous
A child, typically one that is badly behaved:
she’s been acting like a spoiled ___ all evening
presumably this is where people dump their ___s so they can shop in relative peace",8/5/2016,brat1,,,
oc oc0 15 14,without limit; for ever: I don't want to go on working here ____.,,ad infinitum,,,
14,"noun
(also ___ tree)A large tree with smooth grey bark, glossy leaves, and hard, pale fine-grained timber. ブナ",8/7/2016,beech,,,
oc oc0 oc1 13,e__ v (fml) 1 to make sb higher in rank or greater in power: [Vn] The poor will be ___d.,,exalt,,,
,o__ 食道,12/6/2016,oesophagus,,/??s?f???s/,
0 16,"noun
1A small dried fruit made from a small seedless variety of grape originally grown in the eastern Mediterranean region and much used in cooking: [as modifier] :
a ___ bun
2A Eurasian shrub which produces small edible black, red, or white berries.",6/30/2016,currant,,,
oc oc0 15 15,n 1 a small metal bar used for fastening a door or gate: He lifted the ____ and pushed open the door. 2 a type of lock on a door that can only be opened from the outside with a key. IDM on the ____ (esp of a door) closed but not locked. +____ v to fasten sth with a ____. PHRV ____ on (to sth)(infml) to understand an idea. ____ on to sb   to approach sb and stay in their company (too long).,1/4/2011,latch,,,
oc oc0 10 15,"n a person who has strong and unreasonable beliefs and opinions, especially about religion or politics, and will not listen to or accept the opinions of anyone who disagrees: religious ____",,bigot,,,
,"noun
1A thin decorative covering of fine wood applied to a coarser wood or other material:
a fine-grained ___
[mass noun] :
the ceiling was of maple ___
? A layer of wood used to make plywood.
? [in singular] An attractive appearance that covers or disguises someone or something’s true nature or feelings:
her ___ of composure cracked a little",12/7/2016,veneer,,,
,"2A clue or piece of information which is or is intended to be misleading or distracting:
the argument about women’s choices is largely a ___
[So named from the practice of using the scent of ___ in training hounds]",12/8/2016,red herring,,,
,"noun
Another term for barbitone.",12/9/2016,veronal,,/?v?r?n(?)l/,
,"noun
A substantial, satisfying, and balanced meal:
three ___s a day",12/10/2016,square meal,,,
oc oc0 11 15 17,"i_a_ 1 not sufficient or enough; not good enough for a particular purpose 2 not sufficiently able or confident enough to deal with a particular situation, challenge, etc",,inadequate,,,
9 15 17,"1Giving an impression of vague unworldliness or mystery:
a rather ___ romantic novelist
2Having supernatural powers of clairvoyance.
3archaic , chiefly Scottish Fated to die or at the point of death.",4/25/2016,fey,,,
oc oc0 oc1 14 17 17,sh___ 1(a) in poor condition through much use or being badly cared for (b) untidy; dressed 2 mean and unfair; not honourable,,shabby,5/2/2015,,
oc oc0 oc1 18 17 17,"f___ v to prevent sb from achieving sth: to prevent a plan, etc from succeeding: He was ___d in his attempt to deceive us.",,foil,,,
,"h__ noun 
A beautiful young woman, especially one of the virgin companions of the faithful in the Muslim Paradise.",12/11/2016,houri,(plural houris), /?h??ri/,
oc oc0,"s_6_ adj (derog) 1(of conditions, places, etc) dirty and unpleasant: a ____ slum +living in ____ poverty. 2 (of people, behaviour, etc) not honest or moral; unpleasant: a ____ affair + a person with a ____ past + I don't want to know all the ____ details. + ____ly adv ____ness n[U]",12/25/2011,sordid,,,
oc oc0 oc1 oc1,"r___ greedy, esp for money: ____ capitalist",,rapacious,,,
oc oc0 oc1 oc1,"w___ v PHR V ____ sth from sb/sth (rather fml) (a) to take sth away from sb, esp after a violent struggle: He ___d the gun from my grasp. (b) to obtain sth from sb/sth after trying hard for a long time: Foreign investors are trying to ____ control of the firm from the family.",10/22/2012,wrest,,,
,"adjective
(Chiefly of a drug or medicine) tending to stimulate or facilitate evacuation of the bowels:
___ drugs
the ___ properties of sodium sulphate
noun",12/12/2016,laxative,,,
,"鶏冠石 noun [mass noun]
A soft reddish mineral consisting of arsenic sulphide, formerly used as a pigment and in fireworks.",12/14/2016,realgar,,,
,"noun
1A vetch, especially the common vetch.
2(__s) (In biblical use) an injurious weed resembling corn when young (Matt. 13:24-30).",12/18/2016,tare,,,
0,"verb [with object]
Make (someone) feel annoyed, frustrated, or worried, especially with trivial matters:
the memory of the conversation still __d him
(as adjective __ing)
the most __ing questions for policymakers
adjective chiefly West Indian
Angry; annoyed:
I ain’t __ with you",12/20/2016,vex,,,
,"verb [with object] (___ someone/thing of)
Make someone or something free of (an unwanted person or thing):
boil the peel to ___ it of bitterness
? (be ___ of) Be freed or relieved of:
she couldn’t wait to be ___ of us",12/22/2016,rid,,,
0,"adjective
1Characterized by strong and turbulent or conflicting emotion:
he had a reckless and ___ streak
2Very stormy:
a ___ wind",12/21/2016,tempestuous,,t?m?p?stj??s/,
oc,"n (often in compounds) a small simple building, usu made of wood or metal, used for storing things or sheltering animals, vehicles, etc: a tool-____ + a wood-____ + a coal-____ + a cattle-____ + an engine-____ + a bicycle-____. See also water____.",5/21/2011,shed,,,
