,"NOUN

mass noun
formal
The quality of having strong moral principles; honesty and decency.
‘financial ___’",12/24/2019,probity,,,
,"NOUN

in singular
1A source of help in a difficult situation.
‘surgery may be the only ___’  
1.1 ___ tomass noun The use of (someone or something) as a source of help in a difficult situation.",12/25/2019,recourse,,,
,"VERB

[WITH OBJECT]
1Compress (something) into small folds or ridges.
‘she ___ the edge of the pie’  
1.1Connect (a wire or cable) by squeezing the end or ends.
‘pliers will ___ wires together’",12/26/2019,crimp,,,
,"ADJECTIVE

1Unpleasantly bright in colour, especially so as to create a harsh or unnatural effect.
‘___ food colourings’
‘a pair of ___ shorts’  
1.1Presented in vividly shocking or sensational terms.",12/27/2019,lurid,,,
,"NOUN

informal
A lazy person who stays in bed late.  
‘I was awake at 6: 00 a.m. while the hardened __s wanted to sleep the day away.’",12/28/2019,slugabed,,/ˈslʌɡəbɛd/ ,
,"NOUN

1A small piece of tasty food.
‘when you are out with your puppy always have a ___ in your pocket’  
1.1A small and particularly interesting item of gossip or information.
‘they were hoping for __s about the family’",12/29/2019,titbit,(North American tidbit),,
,"NOUN

mass noun
Time spent recovering from an illness or medical treatment; recuperation.
‘a period of ___’
count noun ‘I had a long ___ ahead’",12/30/2019,convalescence,,,
,"VERB

[NO OBJECT]
1(chiefly of large mammals) roll about or lie in mud or water, especially to keep cool or avoid biting insects.
‘there were watering places where buffalo liked to ___’
2 ___ in(of a person) indulge in an unrestrained way in (something that one finds pleasurable)
‘I was __ing in the luxury of the hotel’",12/31/2019,wallow,,,
,"NOUN

mass noun
Vigour and spirit or enthusiasm.
‘Kollo sings with supreme verve and flexibility’",,verve,,,
,"NOUN

1informal An extremely easy task.
‘the program was a cinch to use’  
2North American A girth for a Western saddle or pack of a type used mainly in Mexico and the western US.
‘they watered the horses and loosed the cinches’",,cinch,,,
