0,"VERB

1with object Openly resist or refuse to obey.
‘a woman who __s convention’
1.1 Be of such a kind or nature that (a specified attitude or action) is almost impossible.
‘his actions ___ belief’
‘the outfit __d adequate description’",11/5/2018,defy,,,
0 0 1 5 6 9 10 11 12,"p__ ADJECTIVE

Having a harmful effect, especially in a gradual or subtle way.
‘the ___ influences of the mass media’",10/25/2018,pernicious,,,
1 8 9 10 11 12,"d__ NOUN

A person who is slow at learning; a stupid person.
‘he was baffled by arithmetic and they called him a ___ at school’",10/31/2018,dunce,,,
,"NOUN

mass noun
1Anxiety or fear that something bad or unpleasant will happen.
‘he felt sick with ___’
count noun ‘she had some __s about the filming’
2Understanding; grasp.
‘his first ___ of such large issues’
3The action of arresting someone.
‘they acted with intent to prevent lawful ___’",11/11/2018,apprehension,,,
10,"e__ NOUN

formal 
1A large, imposing building.
2A complex system of beliefs.
‘the concepts on which the ___ of capitalism was built’",11/6/2018,edifice,,,
10,"f__ NOUN

derogatory 
1A liveried manservant or footman.
1.1 A person who performs relatively menial tasks for someone else, especially obsequiously.",11/9/2018,flunkey,(also flunky),,
0 9 10 11 12 12,"i__ ADJECTIVE

Persistent, especially to the point of annoyance.
‘___ creditors’",11/17/2018,importunate,,,
0 7,"NOUN

mass noun
1The thick reddish or green leaf stalks of a cultivated plant of the dock family, which are eaten as a fruit after cooking.
as modifier ‘___ pie’食用ダイオウ",11/8/2018,rhubarb,,,
9,"g__ VERB

[WITH OBJECT]
1Decorate or embellish (something, especially food)
‘___ each serving with a dollop of sour cream’",11/7/2018,garnish,,,
,"NOUN

informal 
1
‘you can't blame the wee ___’
non-standard spelling of fellow, used in representing speech in various dialects
2A person's boyfriend or lover.
‘she took a fancy to her best friend's ___’",11/15/2018,fella,"
(also fellah)",,
0,"VERB

with object and adverbial of place Establish or settle (someone) in a comfortable, safe place.
‘Agnes __d herself in their bedroom’",11/14/2018,ensconce,,,
7,"a__ PLURAL NOUN

(in historical contexts) money or food given to poor people.
‘the riders stopped to distribute ___’",11/13/2018,alms,,,
,"ADJECTIVE

1(of work) not requiring much skill and lacking prestige.
‘___ factory jobs’
1.1dated attributive (of a servant) domestic.",11/16/2018,menial,,,
,"l__ NOUN

1A special uniform worn by a servant, an official, or a member of a City Company.
‘yeomen of the guard wearing a royal red and gold ___’
mass noun ‘pageboys in scarlet and green ___’",11/18/2018,livery,,,
,"NOUN

1A chain attached to a watch for carrying in a waistcoat or waistband pocket.
1.1 A small ornament attached to a watch chain.
1.2 A small pocket for carrying a watch.
1.3 A tab on a key ring.",11/21/2018,fob,,,
0 8 12,"s__ VERB

[WITH OBJECT]
Demand or specify (a requirement), typically as part of an agreement.
‘he __d certain conditions before their marriage’",11/19/2018,stipulate,,,
0 10 12,"v__ ADJECTIVE

1(of a person) talking fluently, readily, or incessantly.
‘a ___ game-show host’
1.1 (of speech) characterized by fluency and readiness of utterance.
‘an excited and ___ discussion’",11/20/2018,voluble,,,
0 0 7 8 9,"ch__ ADJECTIVE

Cautiously or suspiciously reluctant to do something.
‘she had been ___ of telling the whole truth’",11/12/2018,chary,,,
0,"VERB

[NO OBJECT]
formal 
Think deeply about something; meditate or reflect.
‘he stroked his beard and retired to ___’",11/22/2018,cogitate,,,
,"PREPOSITION & CONJUNCTION

literary, archaic 
Before (in time)
as preposition ‘we hope you will return ___ long’",11/23/2018,ere,,/ɛː/,
12,"f__ NOUN

A Muslim (or, loosely, a Hindu) religious ascetic who lives solely on alms.",11/29/2018,fakir,"
(also faquir)",,
7 12,"t__ ADVERB

literary, archaic 
To or towards that place.
‘no trickery had been necessary to attract him ___’",11/24/2018,thither,,/ˈðɪðə/,
,"ADJECTIVE

Anatomy Medicine Zoology 
1Relating to, affecting, or consisting of a vessel or vessels, especially those which carry blood.
‘___ disease’
‘the ___ system’
1.1Botany Relating to or denoting the plant tissues (xylem and phloem) which conduct water, sap, and nutrients in flowering plants, ferns, and their relatives.",11/25/2018,vascular,,,
,"p__ NOUN

An officer on a ship who keeps the accounts, especially the head steward on a passenger vessel.",11/26/2018,purser,,,
11,"NOUN

1(in India and East Asia) a Hindu or Buddhist temple, typically in the form of a many-tiered tower.
1.1 An ornamental imitation of a Hindu or Buddhist ___.",11/30/2018,pagoda,,,
12,"VERB

[WITH OBJECT]
archaic 
1Reduce (someone) to extreme hunger.
‘they had __d the city into surrender’
1.1no object Be extremely hungry.",12/1/2018,famish,,,
0 0 1 8,"c__ NOUN

1A sudden and unaccountable change of mood or behaviour.
‘the __s of the electorate’
mass noun ‘a land where men were ruled by law and not by ___’
2Music 
‘the ___ was divided into a theme and eleven variations’",11/27/2018,caprice,/kəˈpriːs/,,
,"NOUN

1(in folklore) a man-eating giant.
1.1 A cruel or terrifying person.
‘it is clear that I am no ___’",12/2/2018,ogre,,,
0 8 10 11,"_13_ ADJECTIVE

(of a person or their efforts) persisting tirelessly.
‘an ___ defender of human rights’",11/28/2018,indefatigable,,,
,"x__ NOUN

mass noun
Botany 
The vascular tissue in plants which conducts water and dissolved nutrients upwards from the root and also helps to form the woody element in the stem. 木部",12/4/2018,xylem,,,
