,"noun [mass noun]
The supposed faculty of perceiving things or events in the future or beyond normal sensory contact:
she stared at the card as if she could contact its writer by ____",2/26/2016,clairvoyance,,,
oc oc0 oc2 oc2 19,IDM to be useful or helpful to sb when needed: Her languages will ____ her ____ ____ ____ when she starts looking for a job.,,stand sb in good stead,,,
oc0 20 19,"noun
(In general use) a personal possession.
? Law An item of property other than freehold land, including tangible goods (___s personal) and leasehold interests (___s real). See also goods and ___s.",10/2/2015,chattel,,,
,"noun [mass noun] [usually with adjective or noun modifier]
Pottery, typically that of a specified type:
blue-and-white majolica ___
(___s)
Minoan potters produced an astonishing variety of ___s
? Manufactured articles of a specified type:
crystal ___
aluminium ___",4/30/2016,ware,,,
,"verb [with object]
Satisfy (a desire or an appetite) to the full:
___ your appetite at the resort’s restaurant
? Supply (someone) with as much as or more of something than is desired or can be managed:
he was ___d with flying",5/1/2016,sate1,,,
7,"noun
1historical A type of battleship introduced in the early 20th century, larger and faster than its predecessors and equipped entirely with large-calibre guns. [Named after Britain's HMS ___, which was the first to be completed (1906)]
2archaic A fearless person.
3archaic A heavy overcoat for stormy weather.",3/19/2016,dreadnought,,,
oc0 20 19 18,"noun [treated as plural]
Wild animals which are believed to be harmful to crops, farm animals, or game, or which carry disease, e.g. rodents:
killed as ___ or game, the pumas have gone
? Parasitic worms or insects:
his clothes are infested with ____
? People perceived as despicable and as causing problems for the rest of society:
the ____ who ransacked her house",10/1/2015,vermin,,,
oc,シダ,,fern,,,
oc,"n a carriage with four wheels for a baby to go out in, pushed by a person on foot.",4/26/2011,pram,,,
,"Ⅰ 1Each of the small, thin horny or bony plates protecting the skin of fish and reptiles, typically overlapping one another.
Ⅱ 1(usually ___s) An instrument for weighing, originally a simple balance (a pair of ___s) but now usually a device with an electronic or other internal weighing mechanism:
bathroom ___s",5/2/2016,scale12,,,
oc oc0 oc1 oc2 19,m__ to wound or injure sb so that part of the body is permanently damaged or lost,,maim,,,
oc0 oc1 oc2 18,"noun
A machine for shaping wood, metal, or other material by means of a rotating drive which turns the piece being worked on against changeable cutting tools.
verb [with object]
Shape with a ____:
I have ___d metal in a machine shop",4/22/2015,lathe,,/le??/,"Middle English: probably from Old Danish lad 'structure, frame', perhaps from Old Norse hlath 'pile, heap', related to hlatha (see lade)"
,"noun 
A landing stage or small pier at which boats can dock or be moored:
? A bridge or staircase used by passengers boarding an aircraft:
? A breakwater constructed to protect or defend a harbour, stretch of coast, or riverbank:",5/4/2016,jetty,,,
7 7,"adjective
Hard but liable to break easily:
her bones became fragile and ___
? (Of a person’s voice) unpleasantly hard and sharp and showing signs of instability or nervousness:
a ___ laugh
noun [mass noun]
A ___ sweet made from nuts and set melted sugar:",1/30/2016,brittle,,,
