,"ADJECTIVE

1Using money and other resources carefully and not wastefully.
‘he had been brought up to be ___ and careful’
2archaic, dialect (of livestock or plants) strong and healthy.
‘the sheep are vigorous and ___’",12/15/2018,thrifty,,,
8 11,"a__ ADVERB

In a way that shows that one is not treating something as serious; casually.
‘he was ___ dismissive of the question’",12/16/2018,airily,,,
0 8,"b__ NOUN

1A stupid person.
2A large tropical seabird of the gannet family, with brown, black, or white plumage and brightly coloured feet.
Genus Sula, family Sulidae: several species カツオドリ",12/17/2018,booby1,,,
,"ADJECTIVE

1(of countryside) green with grass or other rich vegetation.
‘___ valleys’
1.1 Of the bright green colour of lush grass.
‘a deep, ___ green’
‘a serving of hideously ___ mushy peas’",12/22/2018,verdant,,,
0 0 2,"ADJECTIVE

Sad and disappointed.
‘he came back empty-handed and ___’",12/19/2018,crestfallen,,,
,"NOUN

A magical word or phrase uttered with the intention of bringing about evil; a curse.
‘he muttered ___ to himself as he trod the stone passages’",12/23/2018,malediction,,/ˌmalɪˈdɪkʃ(ə)n/,
7,"NOUN

mass noun
1A dark fine-grained volcanic rock that sometimes displays a columnar structure, typically composed largely of plagioclase with pyroxene and olivine.
玄武岩
1.1 A kind of black stoneware developed by Josiah Wedgwood.",12/21/2018,basalt,,,
,"NOUN

A member of a religious or political sect.
‘It was, for Tories, unthinkable to have a national church with __s outside.’",12/25/2018,sectary,,,
,"VERB

[WITH OBJECT]
Enclose or cover in a case or close-fitting surround.
‘each was __d in a plastic shrink-wrap’",12/26/2018,"encase
(also incase)",,,
,"NOUN

mass noun
An olive-green, grey-green, or brown mineral occurring widely in basalt, peridotite, and other basic igneous rocks. It is a silicate containing varying proportions of magnesium, iron, and other elements. カンラン石",12/31/2018,olivine,,,
10,"l_6_ ADJECTIVE

1(of a liquid) completely clear and transparent.
‘the ___ waters of the Caribbean’
1.1 (of a person's eyes) unclouded; clear.
‘the ___ grey eyes gazed trustfully at her’",12/24/2018,limpid,,,
10,"ADJECTIVE

1Slow-moving or inactive.
‘a ___ stream’
1.1 Lacking energy or alertness.
‘Alex woke late feeling tired and ___’",12/27/2018,sluggish,,,
,"z__ NOUN

another term for Brahmin (sense 3)",1/1/2019,zebu,,,
3,"NOUN

1A sweet, dark brown oval fruit containing a hard stone, usually eaten dried.
ナツメヤシ
2A tall palm tree which bears clusters of __s, native to western Asia and North Africa.
Phoenix dactylifera, family Palmae",12/28/2018,date2,,,
,"VERB

[NO OBJECT]
humorous, formal 
1Walk or travel through or round a place or area, especially for pleasure and in a leisurely way.
‘the locals ___ up and down the thoroughfare’
with object ‘she __d the square’",1/2/2019,perambulate,,,
,"ADJECTIVE

Powerfully and mysteriously attractive or fascinating; seductive.
‘the town offers ___ shops and restaurants’",1/4/2019,alluring,,,
0,"h__ NOUN

(in South Asia) a seat for riding on the back of an elephant or camel, typically with a canopy and accommodating two or more people.",1/5/2019,howdah,,/ˈhaʊdə/,
7 10 11,"p_8_ NOUN

Any of a large class of rock-forming silicate minerals, generally containing calcium, magnesium, and iron and typically occurring as prismatic crystals. 輝石",12/29/2018,pyroxene,,,
11,"f__ NOUN

1A secure place well protected by natural features.
‘a remote Himalayan mountain ___’
2mass noun The ability of a material or dye to maintain its colour without fading or washing away.
‘the dyes differ in their ___ to light’",1/9/2019,fastness,,,
,"NOUN

1mass noun Temporary unconsciousness or confusion and other symptoms caused by a blow on the head.
‘he was carried off the pitch with ___’
count noun ‘nothing more serious than a mild ___’",1/7/2019,concussion,,,
,"VERB

1with object Stand astride over; straddle.
‘he __d me, defending my prone body’
figurative ‘creatures that ___ the dividing line between amphibians and reptiles’
1.1 Sit astride on.
‘he __d his horse with the easy grace of a born horseman’
2Dominate.
‘he __s Alberta politics today’",1/11/2019,bestride pt bestrode,,,
0 0,"NOUN

1A muscular, thick-walled part of a bird's stomach for grinding food, typically with grit.
1.1 A muscular stomach of some fish, insects, molluscs, and other invertebrates.
1.2informal A person's stomach or throat.
‘the fans wanted to see him rip the __s out of bad guys’",1/13/2019,gizzard,,,
0 0,"l__ ADJECTIVE

Looking or sounding sad and dismal.
‘his face looked even more ___ than usual’",1/13/2019,lugubrious,,,
0 9,"s__ NOUN

mass noun
Geology 
A coarse-grained grey igneous rock composed mainly of alkali feldspar and ferromagnesian minerals such as hornblende.閃長岩",1/8/2019,syenite,,,
0 0 8 9 11,"p__ NOUN

1A fence made from pointed wooden or metal posts.
1.1 A post used in a ___.",1/3/2019,paling,,,
0 8 11,"r__ ADJECTIVE

1Extremely hungry.
‘I'd been out all day and was ___’
1.1 (of hunger or need) very great; voracious.
‘a ___ appetite’",1/10/2019,ravenous,,,
0 3 5 8 9,"p__ NOUN

mass noun
A form of feldspar consisting of aluminosilicates of sodium and/or calcium, common in igneous rocks and typically white. 斜長石",12/29/2018,plagioclase (also plagioclase feldspar),,/ˈpleɪdʒɪə(ʊ)kleɪz//ˈplaɡɪəʊkleɪz/,
,"NOUN

1A sacred song or hymn, in particular any of those contained in the biblical Book of __s and used in Christian and Jewish worship.
‘a delightful setting of ___ 150’
1.1(__s"" or ""Βook of __s) A book of the Bible comprising a collection of religious verses, sung or recited in both Jewish and Christian worship.",1/14/2019,psalm,,,
0 0 0 0 4 10 11,"c__ NOUN

An ornamental covering spread over a horse's saddle or harness.",1/15/2019,caparison,,/kəˈparɪs(ə)n/,
0 0,"f__ NOUN

mass noun
An abundant rock-forming mineral typically occurring as colourless or pale-coloured crystals and consisting of aluminosilicates of potassium, sodium, and calcium. 長石",1/16/2019,"feldspar
(also felspar)",,/ˈfɛldspɑː/,
,"NOUN

mass noun
1The leaf of an Asian evergreen climbing plant, which in the East is chewed as a mild stimulant.
2The plant, related to pepper, from which ___ leaves are taken.
Piper ___, family Piperaceae キンマ",1/18/2019,betel,,,
8,"ADJECTIVE

Geology 
(of a rock or mineral) containing iron and magnesium as major components.
‘The example from the granite at Lime Crest quarry is very low in magnesium relative to those found in rocks containing more ___ minerals.’苦鉄質鉱物",1/17/2019,ferromagnesian,,,
0 0 11,"h__ NOUN

mass noun
A dark brown, black, or green mineral consisting of a silicate of calcium, magnesium, and iron, occurring in many igneous and metamorphic rocks. 普通角閃石",1/19/2019,hornblende,,/ˈhɔːnblɛnd/,
11,"ADJECTIVE

1Lying stretched out on the ground with one's face downwards.
‘there was a man praying before an idol, lying ___’
‘they surged forward around the ___ figure on the ground’
2Botany 
Growing along the ground.
‘mats of ___ herbs can be used to break up expanses of soil’",1/20/2019,prostrate,,/ˈprɒstreɪt/,
10,"NOUN

mass noun
The chemical element of atomic number 19, a soft silvery-white reactive metal of the alkali metal group.
___ is a member of the alkali metal group, and its compounds occur widely in minerals and in seawater. The metal itself has few uses, but its compounds are used in the manufacture of fertilizers, soaps, and glass. In the body, ___ ions are involved in the transmission of nerve impulses and are an important constituent of the fluid within cells カリウム",1/22/2019,potassium,,/pəˈtasɪəm/,
0,"NOUN

mass noun
Geology 
A dense, coarse-grained plutonic rock containing a large amount of olivine, believed to be the main constituent of the earth's mantle. 橄欖岩",1/23/2019,peridotite,,,
0 0,"ADJECTIVE

1(of iron or steel) given a wavy pattern by hammer-welding and repeated heating and forging.
‘a ___ blade’象嵌
2(of a metal object) inlaid with gold or silver decoration.
‘a pocket looking glass, silver ___ with gold’",1/25/2019,damascened,,,
,"NOUN

mass noun
1The action of calling into question the integrity or validity of something.
‘the prosecutor's detailed ___ of the character witness’
1.1British A charge of treason or another crime against the state.
‘the king cynically abandoned him, encouraging his ___’
1.2US A charge of misconduct made against the holder of a public office.
‘the president is facing ___ over the scandal’
count noun ‘all __s shall be tried by the Senate’",1/28/2019,impeachment,,,
0 8,"o__ NOUN

mass noun
1An earthy pigment containing ferric oxide, typically with clay, varying from light yellow to brown or red.
with modifier ‘yellow ___’
1.1 A pale brownish yellow colour.",1/21/2019,"ochre
(US ocher)",,,
0 8,"ADJECTIVE

Geology 
1(of rock) having solidified from lava or magma. 火成岩
1.1 Relating to or involving volcanic or plutonic processes.
‘___ activity’
1.2rare Of fire; fiery.",1/24/2019,igneous,,,
0 0 7 10 11,"h_10_ NOUN

usually __s
archaic 
Clothing.
‘One in these __s is prone to dream, are they not?’",1/27/2019,habiliment,,,
8,"NOUN

mass noun
historical 
1A former practice in India whereby a widow threw herself on to her husband's funeral pyre.
1.1count noun A widow who committed ___.",1/27/2019,"sati1
(also suttee)",,,
,"NOUN

1Anatomy 
A structure containing a number of nerve cell bodies, typically linked by synapses, and often forming a swelling on a nerve fibre. 神経節
1.1 A network of cells forming a nerve centre in the nervous system of an invertebrate.
1.2 A well-defined mass of grey matter within the central nervous system.
See also basal ___
2Medicine 
An abnormal benign swelling on a tendon sheath.",2/3/2019,ganglion,,,
,"NOUN

mass noun
1The action of forcibly taking someone away against their will.
‘they organized the ___ of Mr Cordes on his way to the airport’
count noun ‘__s by armed men in plain clothes’
2Physiology 
The movement of a limb or other part away from the midline of the body, or from another part.
The opposite of adduction",1/29/2019,abduction,,,
,"a__ ADVERB

informal, archaic 
Soon; shortly.
‘I'll see you ___’
‘That, as it turned out, was a fortunate confluence of events, of which more ___.’",1/30/2019,anon,,,
,"NOUN

mass noun
Resin, especially the solid amber residue obtained after the distillation of crude turpentine oleoresin, or of naphtha extract from pine stumps. It is used in adhesives, varnishes, and inks and for treating the bows of stringed instruments.
‘they will also supply crushed colophony ___’
as modifier ‘liquid ___ flux’",1/31/2019,rosin,,,
0,"ADJECTIVE

1Bending and moving easily and gracefully; flexible.
‘her ___ fingers’
figurative ‘my mind is becoming more ___’
1.1 Not stiff or hard; easily manipulated.
‘this body oil leaves your skin feeling deliciously ___’",2/6/2019,supple,,,
0 9 11,"e__ VERB

[WITH OBJECT]
1often as noun __ing Preserve (a corpse) from decay, originally with spices and now usually by arterial injection of a preservative.
‘the Egyptian method of __ing’
2archaic Give a pleasant fragrance to.
‘the buxom air, __d with odours’",2/1/2019,embalm,,,
6 9 11,"NOUN

1formal A conversation.
‘they broke off their ___ at once’
mass noun ‘he found her in earnest ___ with the postman’
2A gathering for discussion of theological questions.
‘students attend __s and seminars in their chosen fields of study’",2/2/2019,colloquy,,,
,"NOUN

mass noun
Physiology 
The movement of a limb or other part towards the midline of the body or towards another part.
The opposite of abduction (sense 2)",2/7/2019,adduction,,,
,"c__ NOUN

1The junction of two rivers, especially rivers of approximately equal width.
‘the ___ of the Rivers Ouse and Foss’
‘farther down the Tigris at its ___ with the Euphrates’
1.1 An act or process of merging.
‘a major ___ of the world's financial markets’",2/8/2019,confluence,,,
2 9 11,"NOUN

A habitual drunkard.
‘I heard a discussion about Georgian wine glasses that morphed into the disclosure that Georgians, both rich and poor, were drunken __s.’",2/5/2019,sot,,,
0 8 9 10 11,"VERB

[WITH OBJECT]
1Grind (one's teeth) together as a sign of anger (often used hyperbolically)
‘no doubt he is __ing his teeth in rage’
1.1no object (of teeth) strike together; grind.
‘the dog's jaws were primed to ___’",2/4/2019,gnash,,,
,"ADJECTIVE

1Relating to iron.
1.1Chemistry Of iron with a valency of three; of iron(III).
Compare with _＊_",2/11/2019,ferric,＊ ferrous,,
0 0 1 10,"n__ NOUN

mass noun
Chemistry 
A flammable oil containing various hydrocarbons, obtained by the dry distillation of organic substances such as coal, shale, or petroleum.
‘They are, however, susceptible to shrinkage from exposure to solvents containing ___ or turpentine.’",2/9/2019,naphtha,,,
10,"h__ NOUN

mass noun
Exaggerated statements or claims not meant to be taken literally.
‘he vowed revenge with oaths and __s’
mass noun ‘you can't accuse us of ___’",2/12/2019,hyperbole,,,
,"NOUN

Chemistry 
A salt in which the anion contains both chromium and oxygen, especially one of the anion CrO₄²⁻.",2/15/2019,chromate,,,
8,"d__ NOUN

mass noun
A medical condition in which the skin becomes red, swollen, and sore, sometimes with small blisters, resulting from direct irritation of the skin by an external agent or an allergic reaction to it.",2/13/2019,dermatitis,,/ˌdəːməˈtʌɪtɪs/,
11,"o__ NOUN

A natural or artificial mixture of essential oils and a resin, e.g. balsam.
‘We have ___ pepper sprays that generally do work.’",2/16/2019,oleoresin,,,
9,"v__ NOUN

British 
Chemistry 
1The combining power of an element, especially as measured by the number of hydrogen atoms it can displace or combine with.
‘carbon always has a ___ of 4’
1.1Linguistics The number of grammatical elements with which a particular word, especially a verb, combines in a sentence.
‘‘give’ has a ___ of three in ‘I (1) gave it (2) to him (3)’’",2/14/2019,valency,,,
,"NOUN

1A large number of people or things.
‘a ___ of medical conditions are due to being overweight’
‘Father Peter addressed the ___’
1.1the ___ The mass of ordinary people without power or influence.
‘placing ultimate political power in the hands of the ___’",2/17/2019,multitude,,,
0 3 7,"c__ NOUN

another term for rosin
‘Shoe dermatitis may be a result of contact allergy to chromates used in the tanning of leather, rubber found in the soles or lining, or, less commonly, ___, a pine resin widely used in the adhesives used in the manufacture of shoes.’",2/10/2019,colophony,,,
,"NOUN

1A number of bullets, arrows, or other projectiles discharged at one time.
‘the infantry let off a couple of __s’
1.1 A series of utterances directed at someone in quick succession.
‘he unleashed a ___ of angry questions’
2(in sport, especially tennis or soccer) a strike or kick of the ball made before it touches the ground.
‘a forehand ___’",2/20/2019,volley,,,
,"ADJECTIVE

1Having or acting as a hard outer layer or covering.
‘___ bread’
‘Lake Manyara was ringed by ___ salt deposits’
2(especially of an old person) easily irritated.
‘a ___ old Scots judge’",2/21/2019,crusty,,,
