,"ADJECTIVE

Still in existence; surviving.
‘an ___ letter’  
‘With an abundance of remains there are ample ___ buildings and artefacts in situ.’",9/28/2019,extant,,,
,"NOUN

An animal of the large phylum _＊_, comprising the vertebrates together with the sea squirts and lancelets.脊索動物  
‘As an initial matter, the echinoderms and ___ phyla have been arranged in almost every possible phylogenetic order.’",9/29/2019,chordate,＊Chordata,/ˈkɔːdeɪt/ ,
,"NOUN

Zoology 
The fused head and thorax of spiders and other chelicerate arthropods.  
‘The head and thorax are fused into a ____ and may be difficult to distinguish.’
頭胸部",9/30/2019,cephalothorax,,,
,"NOUN

Zoology 
A small or microscopic aquatic crustacean of the large class _＊_.カイアシ類  
‘Blacksmith are plankton feeders preferring zooplankton, including __s, and the eggs and larvae of other marine organisms.’",10/1/2019,copepod,＊Copepoda,/ˈkəʊpɪpɒd/ ,
,"Zoology 
The first larval stage of many crustaceans, having an unsegmented body and a single eye.  
‘Some crustaceans hatch young that are like miniature adults; others go through a larval stage called a ___.’",10/2/2019,"nauplius
nauplii",,/ˈnɔːplɪəs/ ,
,"NOUN

mass noun
1formal Agreement or harmony between people or groups.
‘a pact of peace and ___’  
1.1count noun A treaty.
‘a ___ was to be drawn up’  
2Grammar 
Agreement between words in gender, number, case, person, or any other grammatical category which affects the forms of the words.  
3Music 
count noun A chord that is pleasing or satisfactory in itself.",10/3/2019,concord1,,,
,"The ___ lasted from about 570 million to 245 million years ago, its end being marked by mass extinctions. The Lower ___ sub-era comprises the Cambrian, Ordovician, and Silurian periods, and the Upper ___ sub-era comprises the Devonian, Carboniferous, and Permian periods. The era began with the first invertebrates with hard external skeletons, notably trilobites, and ended with the rise to dominance of the reptiles 古生代",10/4/2019,Palaeozoic,,,
,"NOUN

A swollen area within body tissue, containing an accumulation of pus.
‘once the __s burst, they usually discharge for several days before gradually healing up’
‘one of his priorities as prime minister was to lance the ___ of corruption’",10/5/2019,abscess,,,
,"PLURAL NOUN

Zoology 
A class of myriapod arthropods that comprises the millipedes.  
‘This arthropod subphylum includes the Chilopoda, the ___, the Pauropoda, and the Symphyla.’
ヤスデ",10/6/2019,Diplopoda,,,
,"NOUN

Biochemistry 
A compound consisting of a nucleoside linked to a phosphate group. __s form the basic structural unit of nucleic acids such as DNA.  
‘All three enzymes showed a marked preference for adenine over guanine __s.’",10/7/2019,nucleotide,,,
